sample-id	effluent	week	polymer_type	bead_diameter	Channel	sample_type	particle_type
#q2:types	categorical	numeric	categorical	numeric	categorical	categorical	categorical
ESF21MP-1	FB	0	HDPE	3.175	0	Particle	HDPE
ESF21MP-2	FB	0	PP	3.175	0	Particle	PP
ESF21MP-3	FB	0	PP	3.175	0	Particle	PP
ESF21MP-4	FB	0	Glass	3.175	0	Particle	Glass
ESF21MP-5	FB	0	HDPE	3.175	0	Particle	HDPE
ESF21MP-6	FB	0	Glass	3.175	0	Particle	Glass
ESF21MP-7	FB	0	HDPE	3.175	0	Particle	HDPE
ESF21MP-8	FB	0	LDPE	3.175	0	Particle	LDPE
ESF21MP-9	FB	0	LDPE	3.175	0	Particle	LDPE
ESF21MP-10	FB	0	PS	3.175	0	Particle	PS
ESF21MP-11	FB	0	PS	3.175	0	Particle	PS
ESF21MP-12	FB	0	Glass	3.175	0	Particle	Glass
ESF21MP-13	TWW	2	Glass	3.175	5.1	Particle	Glass
ESF21MP-14	CON	2	PP	3.175	8.2	Particle	MP
ESF21MP-15	CON	2	PS	3.175	7.2	Particle	MP
ESF21MP-16	TWW	2	LDPE	3.175	8.1	Particle	MP
ESF21MP-17	CON	2	PP	3.175	7.1	Particle	MP
ESF21MP-18	TWW	2	HDPE	3.175	6.2	Particle	MP
ESF21MP-19	CON	2	PP	3.175	7.2	Particle	MP
ESF21MP-20	CON	2	PS	3.175	8.2	Particle	MP
ESF21MP-21	TWW	2	Glass	3.175	6.2	Particle	Glass
ESF21MP-22	TWW	2	PP	3.175	5.2	Particle	MP
ESF21MP-23	TWW	2	PP	3.175	5.1	Particle	MP
ESF21MP-24	CON	2	LDPE	3.175	7.1	Particle	MP
ESF21MP-25	CON	2	PP	3.175	6.1	Particle	MP
ESF21MP-26	TWW	2	PS	3.175	6.2	Particle	MP
ESF21MP-27	TWW	2	HDPE	3.175	5.1	Particle	MP
ESF21MP-28	CON	2	PS	3.175	7.1	Particle	MP
ESF21MP-29	TWW	2	LDPE	3.175	5.1	Particle	MP
ESF21MP-30	CON	2	Glass	3.175	7.1	Particle	Glass
ESF21MP-31	CON	2	LDPE	3.175	8.2	Particle	MP
ESF21MP-32	FB	0	PP	3.175	0	Particle	MP
ESF21MP-33	CON	2	HDPE	3.175	6.1	Particle	MP
ESF21MP-34	CON	2	HDPE	3.175	7.2	Particle	MP
ESF21MP-35	TWW	2	LDPE	3.175	6.2	Particle	MP
ESF21MP-36	TWW	2	PP	3.175	8.1	Particle	MP
ESF21MP-37	TWW	2	PS	3.175	5.2	Particle	MP
ESF21MP-38	TWW	2	HDPE	3.175	8.1	Particle	MP
ESF21MP-39	FB	0	PS	3.175	0	Particle	MP
ESF21MP-40	CON	2	LDPE	3.175	7.2	Particle	MP
ESF21MP-41	TWW	2	PS	3.175	8.1	Particle	MP
ESF21MP-42	TWW	2	LDPE	3.175	5.2	Particle	MP
ESF21MP-43	TWW	2	PP	3.175	6.2	Particle	MP
ESF21MP-44	TWW	2	Glass	3.175	8.1	Particle	Glass
ESF21MP-45	FB	0	LDPE	3.175	0	Particle	MP
ESF21MP-46	CON	2	HDPE	3.175	8.2	Particle	MP
ESF21MP-47	CON	2	PS	3.175	6.1	Particle	MP
ESF21MP-48	TWW	2	Glass	3.175	5.2	Particle	Glass
ESF21MP-49	CON	2	LDPE	3.175	6.1	Particle	MP
ESF21MP-50	TWW	2	HDPE	3.175	5.2	Particle	MP
ESF21MP-51	CON	2	HDPE	3.175	7.1	Particle	MP
ESF21MP-52	CON	2	Glass	3.175	7.2	Particle	Glass
ESF21MP-53	TWW	2	PS	3.175	5.1	Particle	MP
ESF21MP-54	CON	2	Glass	3.175	8.2	Particle	Glass
ESF21MP-55	CON	2	Glass	3.175	6.1	Particle	Glass
ESF21MP-56	TWW	6	PS	3.175	5.1	Particle	MP
ESF21MP-57	CON	6	LDPE	3.175	8.2	Particle	MP
ESF21MP-58	CON	6	HDPE	3.175	8.2	Particle	MP
ESF21MP-59	CON	6	PS	3.175	7.1	Particle	MP
ESF21MP-60	CON	6	PP	3.175	6.1	Particle	MP
ESF21MP-61	TWW	6	Glass	3.175	8.1	Particle	Glass
ESF21MP-62	TWW	6	PP	3.175	8.1	Particle	MP
ESF21MP-63	TWW	6	PP	3.175	5.2	Particle	MP
ESF21MP-64	TWW	6	Glass	3.175	5.2	Particle	Glass
ESF21MP-65	TWW	6	Glass	3.175	6.2	Particle	Glass
ESF21MP-66	CON	6	HDPE	3.175	6.1	Particle	MP
ESF21MP-67	CON	6	Glass	3.175	8.2	Particle	Glass
ESF21MP-68	TWW	6	LDPE	3.175	6.2	Particle	Glass
ESF21MP-69	TWW	6	Glass	3.175	5.1	Particle	Glass
ESF21MP-70	CON	6	PP	3.175	7.1	Particle	MP
ESF21MP-71	CON	6	PP	3.175	8.2	Particle	MP
ESF21MP-72	CON	6	Glass	3.175	7.2	Particle	Glass
ESF21MP-73	TWW	6	PP	3.175	6.2	Particle	MP
ESF21MP-74	TWW	6	HDPE	3.175	5.2	Particle	MP
ESF21MP-75	CON	6	LDPE	3.175	7.2	Particle	MP
ESF21MP-76	CON	6	LDPE	3.175	6.1	Particle	MP
ESF21MP-77	TWW	6	LDPE	3.175	8.1	Particle	MP
ESF21MP-78	TWW	6	LDPE	3.175	5.2	Particle	MP
ESF21MP-79	CON	6	HDPE	3.175	7.2	Particle	MP
ESF21MP-80	TWW	6	PS	3.175	6.2	Particle	MP
ESF21MP-81	CON	6	PP	3.175	7.2	Particle	MP
ESF21MP-82	CON	6	LDPE	3.175	7.1	Particle	MP
ESF21MP-83	TWW	6	HDPE	3.175	6.2	Particle	MP
ESF21MP-84	CON	6	PS	3.175	6.1	Particle	MP
ESF21MP-85	CON	6	PS	3.175	7.2	Particle	MP
ESF21MP-86	TWW	6	HDPE	3.175	8.1	Particle	MP
ESF21MP-87	CON	6	Glass	3.175	6.1	Particle	Glass
ESF21MP-88	TWW	6	HDPE	3.175	5.1	Particle	MP
ESF21MP-89	CON	6	HDPE	3.175	7.1	Particle	MP
ESF21MP-90	TWW	6	PS	3.175	5.2	Particle	MP
ESF21MP-91	TWW	6	LDPE	3.175	5.1	Particle	MP
ESF21MP-92	CON	6	PS	3.175	8.2	Particle	MP
ESF21MP-93	TWW	6	PP	3.175	5.1	Particle	MP
ESF21MP-94	TWW	6	PS	3.175	8.1	Particle	MP
ESF21MP-95	CON	6	Glass	3.175	7.1	Particle	Glass
ESF21MP-96	CON	10	PP	3.175	7.1	Particle	MP
ESF21MP-97	TWW	10	PP	3.175	8.1	Particle	MP
ESF21MP-98	TWW	10	PS	3.175	5.1	Particle	MP
ESF21MP-99	CON	10	PS	3.175	6.1	Particle	MP
ESF21MP-100	CON	10	HDPE	3.175	7.1	Particle	MP
ESF21MP-101	TWW	10	HDPE	3.175	5.2	Particle	MP
ESF21MP-102	CON	10	LDPE	3.175	7.2	Particle	MP
ESF21MP-103	TWW	10	PP	3.175	5.2	Particle	MP
ESF21MP-104	CON	10	PP	3.175	7.2	Particle	MP
ESF21MP-105	TWW	10	HDPE	3.175	8.1	Particle	MP
ESF21MP-106	CON	10	LDPE	3.175	7.1	Particle	MP
ESF21MP-107	TWW	10	HDPE	3.175	5.1	Particle	MP
ESF21MP-108	CON	10	LDPE	3.175	8.2	Particle	MP
ESF21MP-109	CON	10	PP	3.175	8.2	Particle	MP
ESF21MP-110	TWW	10	HDPE	3.175	6.2	Particle	MP
ESF21MP-111	CON	10	HDPE	3.175	6.1	Particle	MP
ESF21MP-112	CON	10	Glass	3.175	8.2	Particle	Glass
ESF21MP-113	TWW	10	LDPE	3.175	6.2	Particle	MP
ESF21MP-114	CON	10	PS	3.175	7.2	Particle	MP
ESF21MP-115	TWW	10	Glass	3.175	5.2	Particle	Glass
ESF21MP-116	TWW	10	PP	3.175	6.2	Particle	MP
ESF21MP-117	CON	10	Glass	3.175	7.1	Particle	Glass
ESF21MP-118	CON	10	PS	3.175	7.1	Particle	MP
ESF21MP-119	CON	10	HDPE	3.175	7.2	Particle	MP
ESF21MP-120	CON	10	Glass	3.175	6.1	Particle	Glass
ESF21MP-121	CON	10	HDPE	3.175	8.2	Particle	MP
ESF21MP-122	CON	10	LDPE	3.175	6.1	Particle	MP
ESF21MP-123	TWW	10	PS	3.175	6.2	Particle	MP
ESF21MP-124	CON	10	Glass	3.175	7.2	Particle	Glass
ESF21MP-125	CON	10	PS	3.175	8.2	Particle	MP
ESF21MP-126	TWW	10	PP	3.175	5.1	Particle	MP
ESF21MP-127	TWW	10	PS	3.175	5.2	Particle	MP
ESF21MP-128	TWW	10	Glass	3.175	6.2	Particle	Glass
ESF21MP-129	CON	10	PP	3.175	6.1	Particle	MP
ESF21MP-130	TWW	10	LDPE	3.175	5.2	Particle	MP
ESF21MP-131	TWW	10	LDPE	3.175	5.1	Particle	MP
ESF21MP-132	TWW	10	PS	3.175	8.1	Particle	MP
ESF21MP-133	TWW	10	Glass	3.175	5.1	Particle	Glass
ESF21MP-134	TWW	10	Glass	3.175	8.1	Particle	Glass
ESF21MP-135	TWW	10	LDPE	3.175	8.1	Particle	MP
ESF21MP-5-1-0	TWW	0	water	0	5.1	water	water
ESF21MP-5-1-2	TWW	2	water	0	5.1	water	water
ESF21MP-5-1-6	TWW	6	water	0	5.1	water	water
ESF21MP-5-1-10	TWW	10	water	0	5.1	water	water
ESF21MP-5-2-0	TWW	0	water	0	5.2	water	water
ESF21MP-5-2-2	TWW	2	water	0	5.2	water	water
ESF21MP-5-2-6	TWW	6	water	0	5.2	water	water
ESF21MP-5-2-10	TWW	10	water	0	5.2	water	water
ESF21MP-6-1-0	CON	0	water	0	6.1	water	water
ESF21MP-6-1-2	CON	2	water	0	6.1	water	water
ESF21MP-6-1-6	CON	6	water	0	6.1	water	water
ESF21MP-6-1-10	CON	10	water	0	6.1	water	water
ESF21MP-6-2-0	TWW	0	water	0	6.2	water	water
ESF21MP-6-2-2	TWW	2	water	0	6.2	water	water
ESF21MP-6-2-6	TWW	6	water	0	6.2	water	water
ESF21MP-6-2-10	TWW	10	water	0	6.2	water	water
ESF21MP-7-1-0	CON	0	water	0	7.1	water	water
ESF21MP-7-1-2	CON	2	water	0	7.1	water	water
ESF21MP-7-1-6	CON	6	water	0	7.1	water	water
ESF21MP-7-1-10	CON	10	water	0	7.1	water	water
ESF21MP-7-2-0	CON	0	water	0	7.2	water	water
ESF21MP-7-2-2	CON	2	water	0	7.2	water	water
ESF21MP-7-2-6	CON	6	water	0	7.2	water	water
ESF21MP-7-2-10	CON	10	water	0	7.2	water	water
ESF21MP-8-1-0	TWW	0	water	0	8.1	water	water
ESF21MP-8-1-2	TWW	2	water	0	8.1	water	water
ESF21MP-8-1-6	TWW	6	water	0	8.1	water	water
ESF21MP-8-1-10	TWW	10	water	0	8.1	water	water
ESF21MP-8-2-0	CON	0	water	0	8.2	water	water
ESF21MP-8-2-2	CON	2	water	0	8.2	water	water
ESF21MP-8-2-6	CON	6	water	0	8.2	water	water
ESF21MP-8-2-10	CON	10	water	0	8.2	water	water
